program_id,channel_id,start,end,fitness
378932__2026-01-04_0060,75,60,100,122
378932__2026-01-04_0100,75,100,140,114
490332_studio_2026-01-04_0150,966,150,300,124
13899__2026-01-04_0300,6,300,346,58
490331_news_goodmorning_japan_2026-01-04_0360,965,360,480,217
419906__2026-01-04_0480,108,480,525,67
419906__2026-01-04_0525,108,525,595,70
490331_scienceforeveryone_2026-01-04_0605,965,605,648,64
457711__2026-01-04_0690,317,690,720,62
419966__2026-01-04_0720,133,720,750,62
490331_featurefilm_2026-01-04_0780,965,780,823,84
490448__2026-01-04_0823,1081,823,853,62
457757_telejornal_rtpi_diferido_2026-01-04_0870,360,870,930,141
378864__2026-01-04_0930,51,930,960,62
490331_hellofromstudiopark_2026-01-04_0960,965,960,1005,91
457964_16_2026-01-04_1005,558,1005,1070,62
457964_17_2026-01-04_1070,558,1070,1125,77
490331_nhknews_2026-01-04_1140,965,1140,1170,120
13893__2026-01-04_1170,3,1170,1200,74
13889__2026-01-04_1200,1,1200,1235,74
490314_100_top_25_2026-01-04_1260,948,1260,1290,72
448052__2026-01-04_1290,150,1290,1320,74
490331_scienceforeveryone_2026-01-04_1320,965,1320,1363,112
464610__2026-01-04_1363,799,1363,1408,70
458053__2026-01-04_1408,644,1408,1438,113
