instance,e1_best,e2_best,e3_best,winner
australia_iptv,2946,3085,3191,E3
canada_pw,2432,2432,2503,E3
china_pw,2276,2347,2254,E2
croatia_tv_input,1849,1933,1936,E3
france_iptv,2541,2740,2927,E3
germany_tv_input,932,932,932,tie
kosovo_tv_input,1497,1536,1533,E2
netherlands_tv_input,1601,1660,1723,E3
singapore_pw,3363,3240,3357,E1
spain_iptv,1721,1721,1721,tie
toy,380,380,380,tie
uk_iptv,3053,3094,3110,E3
uk_tv_input,1780,1859,1923,E3
us_iptv,2115,2075,2075,E1
usa_tv_input,2285,2402,2510,E3
youtube_gold,14958,13058,13058,E1
youtube_premium,23694,21646,21646,E1
